specObjID,z,zErr,spectroSkyFlux_u,spectroSkyFlux_g,spectroSkyFlux_r,spectroSkyFlux_i,spectroSkyFlux_z
305245899938883584,0.09808913,2.226899E-05,10.45592,17.006,41.82691,76.34768,137.771
305246174816790528,0.09488719,8.701386E-06,10.67191,17.02202,41.01643,74.39725,136.8725
305246449694697472,0.08454417,1.794394E-05,10.61897,17.10839,41.97404,77.01898,142.0005
305246724572604416,0.04940629,1.123303E-05,10.34154,17.04135,42.81291,78.63494,146.1845
305246999450511360,0.09514278,2.101155E-05,10.45884,16.91363,41.70314,76.13298,139.8058
305247274328418304,0.02112597,6.218089E-06,10.35088,16.72438,40.67929,74.78101,133.152
305247549206325248,1.152031,0.1761073,11.44867,17.51155,40.50186,72.69861,130.75
305247824084232192,0.09408951,1.858063E-05,10.39766,16.84458,41.2463,75.44411,135.0234
305248098962139136,0.1488245,2.094115E-05,10.23265,16.60034,40.95205,76.4634,136.2748
305248373840046080,0.09517838,8.188927E-06,10.71369,16.9459,40.47355,73.82611,130.9212
305248648717953024,0.09737416,7.234394E-06,10.43116,16.73335,40.61847,75.19102,133.8337
305248923595859968,0.3992226,0.0001194203,7.599461,14.31679,38.65707,72.98418,135.1067
305249198473766912,0.1167877,2.989994E-05,10.56571,17.01958,41.24338,74.80677,133.8844
305249473351673856,0.09572376,1.767802E-05,10.21748,16.74719,41.04556,74.03145,132.7191
305249748229580800,0.09481686,6.255921E-06,10.69283,17.09897,41.36025,74.87358,135.5896
305250023107487744,0.09595764,1.8686E-05,10.61156,17.15209,42.11892,76.66301,141.5788
305250297985394688,0.2774611,6.004046E-05,10.40919,17.04516,41.6381,75.39021,140.5291
305250572863301632,0.09648012,1.823024E-05,10.48887,17.12897,42.35357,77.20171,137.49
305250847741208576,0.06966292,2.85978E-05,9.950584,16.50675,40.8549,74.41384,132.6376
305251122619115520,0.07206945,8.507024E-06,10.72194,17.16433,41.49483,75.86707,139.2928
305251397497022464,0.09658662,7.27786E-06,10.42353,16.98548,41.20428,74.61206,133.7877
305251672374929408,0.0466034,2.111756E-05,10.2923,16.72289,40.95858,75.01614,135.3164
305251947252836352,0.0956322,1.962909E-05,10.46548,17.09365,41.9542,76.47408,137.5497
305252222130743296,0.06264601,1.034397E-05,10.60634,17.12645,41.55172,76.75056,135.4894
305253046764464128,0.09462593,1.147639E-05,10.60515,17.08223,40.94758,73.99109,151.2963
305253321642371072,0.07059963,1.79601E-05,10.49766,17.00972,41.99147,77.22444,141.9432
305253596520278016,0.1141187,1.6866E-05,10.05539,16.6725,40.50052,73.49102,132.9816
305253871398184960,0.1471941,1.813944E-05,10.34985,16.88798,41.41065,78.98199,140.8665
305254146276091904,0.06209708,1.820128E-05,10.21226,16.91413,41.45125,75.6526,143.0588
305254421153998848,0.07008418,1.459425E-05,10.114,16.9592,42.58646,77.91066,142.7884
305254696031905792,0.04846503,9.870465E-06,10.30173,17.19905,42.89692,79.13647,146.5956
305255245787719680,0.06384594,2.192482E-05,10.06479,16.85169,41.31649,74.66285,135.686
305255520665626624,0.06357358,1.5452E-05,10.28788,17.14547,42.30085,78.30229,139.0737
305255795543533568,0.9787636,0.000240362,9.609202,16.44686,39.71127,71.17912,126.6389
305256070421440512,0.1878674,3.512807E-05,9.957813,16.81499,41.21004,75.13562,133.607
305256345299347456,3.832748,0.0007524811,7.231143,13.82584,36.89728,70.54369,127.607
305256620177254400,0.2661946,4.952929E-05,9.848795,16.52525,40.75135,74.3825,133.694
305256895055161344,0.09320325,2.142266E-05,10.61542,17.36294,41.72825,75.43275,135.6363
305257169933068288,0.07095178,1.98964E-05,10.79263,17.57893,42.8891,77.76028,139.4791
305257444810975232,0.0208566,7.236355E-06,10.70657,17.44957,42.63077,77.93276,139.3452
305257719688882176,0.1240973,1.471659E-05,10.00207,16.48615,40.23144,74.00595,134.5843
305257994566789120,0.3676543,0.0001014812,2.981002,11.80166,39.0694,72.74009,52.69856
305258269444696064,0.07064526,2.077884E-05,10.5605,17.35034,42.27224,77.74217,143.0133
305258544322603008,0.09535814,2.348837E-05,10.44198,17.12214,41.69534,77.00761,139.5779
305258819200509952,0.09555726,1.513722E-05,10.78593,17.56806,43.0549,79.27793,143.1659
305259094078416896,0.09563772,2.275682E-05,10.69697,17.36829,42.04184,76.97657,136.2812
305259368956323840,0.09742063,3.478515E-05,10.52308,17.42964,42.23561,77.02583,138.9475
305259643834230784,0.09454246,1.395151E-05,9.851474,16.60203,40.25346,73.28904,131.4165
305259918712137728,0.09648617,2.123556E-05,10.48062,17.16464,41.82359,76.00733,137.4624
305260193590044672,0.06310865,2.03697E-05,10.57314,17.36231,42.24371,76.63992,136.812
