SpecObjID,z,zErr,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
299606225207715840,0.3509711,0.6346001,null,null,null,null,null
299606225677477888,0.4667579,9.584929E-05,21.81778,20.9671,19.18583,18.38691,17.91412
299606500085622784,0.08001204,8.303081E-06,21.03632,22.44016,20.87477,20.96025,18.61453
299606500555384832,0.1561039,2.420002E-05,20.07037,18.93862,18.13461,17.71938,17.53513
299606774963529728,0.1658333,5.640462E-05,22.10528,19.3556,18.00409,17.42249,17.00955
299606775433291776,0.1642566,4.091976E-05,20.96689,19.13542,17.88709,17.33292,16.95472
299607049841436672,0.1641583,4.908015E-05,20.96689,19.13542,17.88709,17.33292,16.95472
299607050311198720,0.1222728,1.247384E-05,19.67409,18.59787,17.72881,17.26762,16.94715
299607324719343616,0.1223441,1.826529E-05,20.49041,18.83395,17.90008,17.41608,17.06474
299607325189105664,0.0627807,1.067665E-05,18.96016,17.70679,17.12065,16.78265,16.58779
299607599597250560,0.1643317,6.081582E-05,22.02046,19.25063,17.89767,17.316,16.8499
299607600067012608,0.02524959,1.459553E-05,17.18512,15.4146,14.50861,14.03559,13.60493
299608149353064448,0.1252583,2.903448E-05,19.8842,17.80164,16.6388,16.17031,15.77341
299608149822826496,0.1224014,1.362679E-05,20.49041,18.83395,17.90008,17.41608,17.06474
299608424230971392,0.0367165,1.153787E-05,19.19516,17.52995,16.69637,16.2232,15.81945
299608424700733440,0.07998672,7.674472E-06,21.03632,22.44016,20.87477,20.96025,18.61453
299608699108878336,0.1670902,6.126659E-05,21.23995,19.32144,17.9854,17.44445,17.02965
299608699578640384,0.1657063,4.245067E-05,22.10528,19.3556,18.00409,17.42249,17.00955
299608973986785280,0.7784789,0.5232677,19.208,17.71161,17.07269,16.80016,16.54576
299608974456547328,0.02156401,3.817968E-05,19.208,17.71161,17.07269,16.80016,16.54576
299609248864692224,0.06277641,1.292614E-05,18.96016,17.70679,17.12065,16.78265,16.58779
